"Código cultivo SIEX";"Cultivo SIEX";"Asociación de cultivos";"Código CPE";"Categoría del CPE"
"174";"COL MILÁN O SAVOY";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"175";"BERZA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"176";"COL DE BRUSELAS";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"177";"ENDIVIA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"178";"ZANAHORIA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"179";"NABO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"181";"ACHICORIA";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"182";"GUINDILLA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"183";"ESPINACA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"184";"CARDO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"185";"CALABAZA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"186";"CALABAZA DEL PEREGRINO";"NO";"SOC_CLND026";"Otros cultivos de semillas oleaginosas n.c.o.p."
"187";"BORRAJA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"189";"ESCAROLA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"190";"RÁBANO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"191";"BERRO DE AGUA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"192";"FRAMBUESA";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"193";"HUERTA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"194";"CHAMPIÑÓN";"NO";"SOC_CLND079";"Setas cultivadas"
"197";"TOMATE";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"201";"PLATERINA";"NO";"SOC_CLND057";"Frutas de hueso"
"202";"PARAGUAYO";"NO";"SOC_CLND057";"Frutas de hueso"
"203";"ENDRINO o ARAÑÓN";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"204";"CLEMENTINA";"NO";"SOC_CLND061";"Cítricos"
"205";"SATSUMA";"NO";"SOC_CLND061";"Cítricos"
"206";"NARANJO";"NO";"SOC_CLND061";"Cítricos"
"207";"LIMONERO";"NO";"SOC_CLND061";"Cítricos"
"208";"POMELO O TORONJA";"NO";"SOC_CLND061";"Cítricos"
"209";"MANDARINO";"NO";"SOC_CLND061";"Cítricos"
"210";"MANDARINO HÍBRIDO";"NO";"SOC_CLND061";"Cítricos"
"211";"MEMBRILLO";"NO";"SOC_CLND056";"Frutas de pepita"
"212";"KIWI";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"213";"CAQUI o PALOSANTO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"214";"NÍSPERO";"NO";"SOC_CLND056";"Frutas de pepita"
"215";"GROSELLERO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"216";"ARÁNDANO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"217";"GRANADO";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
