"Código SIEX";"Código asociación (NIF)";"Razón social";"Provincia";"Comunidad Autónoma";Fecha de alta;Fecha de modificación;Fecha de baja
"162";"F02615664";"Efichamp S. Coop de CLM";"Albacete";"CASTILLA-LA MANCHA";26/12/2023;;
"163";"F02739571";"SCA HABITAT AOVE";"Granada";"ANDALUCÍA";26/12/2023;;
"164";"F02998722";"Salazuri S. Coop. Pequeña";"Araba/Álava";"PAÍS VASCO";26/12/2023;;
"165";"F03013604";"Coop. Agric. Y Ganadera de Alicante, S.Coop.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"166";"F03013745";"Cooperativa Valenciana del Campo de Benejama";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"167";"F03013794";"Coop. V. Labradores y Ganaderos Biar";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"168";"F03013828";"Coop. Agrícola Callosa d'En Sarrià Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"169";"F03013877";"Coop.V. del Campo de San Isidro Mirra, Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"170";"F03013893";"Bodega Cooperativa de Castalla, Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"171";"F03013919";"Cooperativa Agrícola Católica, Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"172";"F03013950";"Cooperativa del Campo ""Ilicitana"", Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"173";"F03014107";"Coop.V. Virgen Pobre de Xaló";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"174";"F03014198";"Cooperativa del Campo Sta. Mª Magdalena, Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"175";"F03014255";"Coop. Agrícola Valenciana ""El Progrés""";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
"176";"F03014263";"Cooperativa Agrícola de Pego, Coop.V.";"Alicante/Alacant";"COMUNIDAD VALENCIANA";26/12/2023;;
