"ID_TIPO_IG";"Tipo_IIGG";"ID_IIGG";"IIGG nombre_oficial";"Num_exp_UE";"ID_Categoría";"Categoría";"ID_Clase";"Clase";"ID_Subclase";"Subclase";"INE_COD_CA";"INE_CA";"Ámbito Territorial";"ID_IG_CCAA";"IG_CCAA";"INE_COD_PROV";"INE_PROV";Fecha de alta;Fecha de modificación;Fecha de baja
"2";"IGP";"78";"Mantecadas de Astorga";"PGI-ES-0311";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"28";"2.3 Productos de pastelería y repostería";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"24";"León";27/06/2023;;
"2";"IGP";"80";"Queso de Valdeón";"PGI-ES-0267";"1";"Alimentarios";"3";"CLASE 1.3. QUESOS";"9";"1.3 Quesos";"08";"Comunidad Autónoma de Castilla y León";"Castilla y León";"5";"Castilla y León";"24";"León";27/06/2023;;
"2";"IGP";"81";"Gofio Canario";"PGI-ES-0942";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"18";"1.6 Cereales frescos o transformados";"05";"Comunidad Autónoma de Canarias";"Canarias";"7";"Canarias";"35";"Las Palmas";27/06/2023;;
"2";"IGP";"81";"Gofio Canario";"PGI-ES-0942";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"18";"1.6 Cereales frescos o transformados";"05";"Comunidad Autónoma de Canarias";"Canarias";"7";"Canarias";"38";"Santa Cruz de Tenerife";27/06/2023;;
"2";"IGP";"83";"Plátano de Canarias";"PGI-ES-0867";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"13";"1.6 Frutas";"05";"Comunidad Autónoma de Canarias";"Canarias";"7";"Canarias";"35";"Las Palmas";27/06/2023;;
"2";"IGP";"83";"Plátano de Canarias";"PGI-ES-0867";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"13";"1.6 Frutas";"05";"Comunidad Autónoma de Canarias";"Canarias";"7";"Canarias";"38";"Santa Cruz de Tenerife";27/06/2023;;
"2";"IGP";"89";"Carne de Cantabria";"PGI-ES-0185";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"2";"1.1 Vacuno";"06";"Comunidad Autónoma de Cantabria";"Cantabria";"18";"Cantabria";"39";"Cantabria";27/06/2023;;
"2";"IGP";"91";"Sobao Pasiego";"PGI-ES-0478";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"28";"2.3 Productos de pastelería y repostería";"06";"Comunidad Autónoma de Cantabria";"Cantabria";"18";"Cantabria";"39";"Cantabria";27/06/2023;;
"2";"IGP";"101";"Gall del Penedès";"PGI-ES-01308";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"1";"1.1 Aves de corral";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"08";"Barcelona";27/06/2023;;
"2";"IGP";"101";"Gall del Penedès";"PGI-ES-01308";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"1";"1.1 Aves de corral";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"43";"Tarragona";27/06/2023;;
"2";"IGP";"102";"Pollo y Capón del Prat";"PGI-ES-0095";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"1";"1.1 Aves de corral";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"08";"Barcelona";27/06/2023;;
"2";"IGP";"103";"Ternera de los Pirineos Catalanes / Vedella dels Pirineus Catalans / Vedell des Pyrénées Catalanes";"PGI-ES+FR-1042";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"2";"1.1 Vacuno";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"08";"Barcelona";27/06/2023;;
"2";"IGP";"103";"Ternera de los Pirineos Catalanes / Vedella dels Pirineus Catalans / Vedell des Pyrénées Catalanes";"PGI-ES+FR-1042";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"2";"1.1 Vacuno";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"17";"Girona";27/06/2023;;
"2";"IGP";"103";"Ternera de los Pirineos Catalanes / Vedella dels Pirineus Catalans / Vedell des Pyrénées Catalanes";"PGI-ES+FR-1042";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"2";"1.1 Vacuno";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"25";"Lleida";27/06/2023;;
"2";"IGP";"104";"Salchichón de Vic / Llonganissa de Vic";"PGI-ES-0119";"1";"Alimentarios";"2";"CLASE 1.2. PRODUCTOS CÁRNICOS";"7";"1.2 Embutidos";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"08";"Barcelona";27/06/2023;;
"2";"IGP";"105";"Calçot de Valls";"PGI-ES-0171";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"14";"1.6 Hortalizas";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"43";"Tarragona";27/06/2023;;
"2";"IGP";"106";"Patatas de Prades / Patates de Prades";"PGI-ES-0232";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"14";"1.6 Hortalizas";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"43";"Tarragona";27/06/2023;;
"2";"IGP";"109";"Clementinas de las Tierras del Ebro / Clementines de les Terres de l'Ebre";"PGI-ES-0173";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"13";"1.6 Frutas";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"43";"Tarragona";27/06/2023;;
"2";"IGP";"110";"Manzana de Girona / Poma de Girona";"PGI-ES-0154";"1";"Alimentarios";"6";"CLASE 1.6. FRUTAS, HORTALIZAS Y CEREALES FRESCOS O TRANSFORMADOS";"13";"1.6 Frutas";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"17";"Girona";27/06/2023;;
"2";"IGP";"114";"Pa de Pagès Català";"PGI-ES-0880";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"27";"2.3 Panes";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"08";"Barcelona";27/06/2023;;
"2";"IGP";"114";"Pa de Pagès Català";"PGI-ES-0880";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"27";"2.3 Panes";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"17";"Girona";27/06/2023;;
"2";"IGP";"114";"Pa de Pagès Català";"PGI-ES-0880";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"27";"2.3 Panes";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"25";"Lleida";27/06/2023;;
"2";"IGP";"114";"Pa de Pagès Català";"PGI-ES-0880";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"27";"2.3 Panes";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"43";"Tarragona";27/06/2023;;
"2";"IGP";"115";"Turrón de Agramunt / Torró d'Agramunt";"PGI-ES-0167";"1";"Alimentarios";"9";"CLASE 2.3. PRODUCTOS DE PANADERÍA, PASTELERÍA, REPOSTERÍA Y GALLETERÍA";"26";"2.3  Turrones";"09";"Comunidad Autónoma de Cataluña";"Cataluña";"8";"Cataluña";"25";"Lleida";27/06/2023;;
"2";"IGP";"119";"Cordero de Extremadura";"PGI-ES-0725";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"3";"1.1 Ovino";"10";"Comunidad Autónoma de Extremadura";"Extremadura";"10";"Extremadura";"06";"Badajoz";27/06/2023;;
"2";"IGP";"119";"Cordero de Extremadura";"PGI-ES-0725";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"3";"1.1 Ovino";"10";"Comunidad Autónoma de Extremadura";"Extremadura";"10";"Extremadura";"10";"Cáceres";27/06/2023;;
"2";"IGP";"120";"Ternera de Extremadura";"PGI-ES-0220";"1";"Alimentarios";"1";"CLASE 1.1. CARNES FRESCAS";"2";"1.1 Vacuno";"10";"Comunidad Autónoma de Extremadura";"Extremadura";"10";"Extremadura";"06";"Badajoz";27/06/2023;;
